stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,approx_betweenness,is_articulation_point,community_id,community_size
13103,21472,קניון עזריאלי/דרך מנחם בגין,32.074592,34.790584,21472,10698,19,0.0006236665025439028,21396,9,10,10698,10698,0.00016276563123250045,0.001386872506820175,False,16,625
10775,4216,גשר המיתרים/שד' הרצל,31.787162,35.199533,4216,9490,37,0.0012145084523223371,18976,24,13,9486,9490,0.00017692632644854007,0.011028547219880487,True,8,738
10716,4009,צומת רמות/גולדה,31.808253,35.204001,4009,8696,40,0.0013129821106187428,17392,17,23,8696,8696,0.0001908559941593733,0.006945700128552814,False,8,738
12910,21188,דרך נמיר/יהודה המכבי,32.095376,34.794137,21188,8408,10,0.0003282455276546857,16816,3,7,8408,8408,0.00017957450034491296,0.0018496994324164648,False,16,625
13358,25071,סמינר הקיבוצים/דרך נמיר,32.101886,34.792779,25071,7890,21,0.00068931560807484,15780,10,11,7890,7890,0.00020216005798304084,0.010973049678463466,False,16,625
13120,21500,דרך זאב ז'בוטינסקי/מכון מור,32.091390,34.824447,21500,7393,9,0.0002954209748892171,14786,3,6,7393,7393,0.00011175051394888023,0.00013590393202587788,False,36,368
13206,21675,קריית הממשלה/דרך מנחם בגין,32.072380,34.789654,21675,7193,10,0.0003282455276546857,14386,6,4,7193,7193,0.00010707845825115712,6.045360388832589e-05,True,16,625
10790,5130,צומת רמות/גולדה,31.809649,35.204075,5130,7679,31,0.0010175611357295257,14154,24,7,7679,6475,0.00013952838866702455,0.006091252463031954,False,8,738
13067,21415,דרך נמיר/יהודה המכבי,32.095157,34.794466,21415,6824,8,0.0002625964221237486,13648,3,5,6824,6824,0.0001149196853140164,0.002414171735003236,False,16,625
48363,20727,ת.רק''ל יהודית/דרך מנחם בגין,32.069627,34.787954,20727,6805,8,0.0002625964221237486,13610,4,4,6805,6805,0.00012066671382828949,0.0001703024151306875,False,16,625
10514,3374,ביטוח לאומי,31.784519,35.200768,3374,6739,7,0.00022977186935828,13478,3,4,6739,6739,5.464056743014077e-05,5.873015544303139e-05,False,8,738
13322,23017,המסגר/הרכב,32.063660,34.785580,23017,6712,27,0.0008862629246676514,13424,19,8,6712,6712,0.00016693276395338648,0.0008688197055638741,True,16,625
8636,102,גולדה/שלמה הלוי,31.800300,35.208257,102,6712,16,0.0005251928442474972,13156,8,8,6712,6444,9.58781026070676e-05,0.0024908572636910702,False,8,738
9959,2524,מסוף הר נוף/כנפי נשרים,31.787190,35.180668,2524,8850,9,0.0002954209748892171,12770,5,4,6053,6717,9.854783399645667e-05,0.0003100767714204584,False,70,87
13207,21684,ת.רק''ל בן גוריון/דרך ז'בוטינסקי,32.090946,34.823390,21684,6366,8,0.0002625964221237486,12732,4,4,6366,6366,9.177124444156776e-05,2.642393202770166e-05,False,36,368
10237,3008,יחזקאל/כיכר השבת ,31.788783,35.218466,3008,6103,5,0.00016412276382734285,12206,2,3,6103,6103,0.00010081589024091915,4.95187132080978e-05,False,8,738
14347,27059,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,32.092819,34.837720,27059,6055,7,0.00022977186935828,12110,4,3,6055,6055,0.00015139346127596788,0.0010966152685716074,False,36,368
9445,1232,ירמיהו/שמגר,31.792377,35.207749,1232,6002,12,0.00039389463318562285,12004,7,5,6002,6002,8.465163631907085e-05,8.569583218654638e-05,False,8,738
22099,34063,ת. רק''ל בלינסון/קניון אבנת,32.091717,34.865871,34063,6538,11,0.00036107008042015427,11915,6,5,6538,5377,0.00015727087124712584,0.0009903811013452575,True,18,605
50332,20801,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,32.083005,34.802272,20801,5916,13,0.00042671918595109143,11832,7,6,5916,5916,0.00010468047754007416,0.0014218574240050105,True,16,625
44960,1556,ירמיהו/הצבי,31.790922,35.201995,1556,5899,10,0.0003282455276546857,11798,2,8,5899,5899,7.38884579612585e-05,0.00021718811378231204,False,8,738
13274,22942,מחלף גבעת שמואל/כביש 4,32.074823,34.843553,22942,5873,24,0.0007877892663712457,11746,6,18,5873,5873,9.2915297234852e-05,0.03684287804337125,False,36,368
49466,1749,מסוף הר נוף/כנפי נשרים,31.787451,35.180456,1749,6668,10,0.0003282455276546857,11722,4,6,6668,5054,8.679053760245179e-05,0.0001565091137836066,True,70,87
50385,20832,ת.רק''ל ארלוזורוב/דרך מנחם בגין,32.080749,34.796416,20832,5787,9,0.0002954209748892171,11574,5,4,5787,5787,0.00010381699631703348,0.0008474063236989269,False,16,625
3521,42656,מת''מ,32.790385,34.961340,42656,5770,13,0.00042671918595109143,11540,10,3,5770,5770,0.00018810259853864516,0.014270493006601121,False,39,344
12898,21161,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,32.092564,34.840305,21161,5770,11,0.00036107008042015427,11537,6,5,5767,5770,6.769399890116403e-05,0.0032940648010364804,False,36,368
48438,20725,דרך מנחם בגין/החשמונאים,32.068718,34.786781,20725,5692,10,0.0003282455276546857,11384,4,6,5692,5692,8.034398246402203e-05,3.940547528139374e-05,False,16,625
13354,24068,ת. רכבת תל אביב - סבידור/דרך נמיר,32.083482,34.795008,24068,5696,31,0.0010175611357295257,11348,22,9,5652,5696,9.893011128804714e-05,0.02290366016096854,False,16,625
3368,42502,סחרוב,32.790059,34.959315,42502,5670,16,0.0005251928442474972,11340,12,4,5670,5670,6.587233412000487e-05,0.0010476000966211534,True,39,344
14077,26583,מחלף גהה/דרך ז'בוטינסקי,32.092621,34.843838,26583,5654,16,0.0005251928442474972,11308,13,3,5654,5654,0.00016482438826074104,0.025804712087099214,False,36,368
